,*BatchNum,*TreatCode,Cells/Single Cells/Single Cells-1 | Count,Cells/Single Cells/Single Cells-1/Live | Count,Cells/Single Cells/Single Cells-1/Live/CD45+ | Count,Cells/Single Cells/Single Cells-1/Live/CD45+/CD3+ Lymphocytes | Count,Cells/Single Cells/Single Cells-1/Live/CD45+/CD3+ Lymphocytes/CD4+ T Cells | Count,Cells/Single Cells/Single Cells-1/Live/CD45+/CD3+ Lymphocytes/CD4+ T Cells/CD62L+ CD4+ T Cells | Count,Cells/Single Cells/Single Cells-1/Live/CD45+/CD3+ Lymphocytes/CD4+ T Cells/PD-1+ CD4+ T Cells | Count,Cells/Single Cells/Single Cells-1/Live/CD45+/CD3+ Lymphocytes/CD8+ T Cells | Count,Cells/Single Cells/Single Cells-1/Live/CD45+/CD3+ Lymphocytes/CD8+ T Cells/CD62L+ CD8+ T Cells | Count,Cells/Single Cells/Single Cells-1/Live/CD45+/CD3+ Lymphocytes/CD8+ T Cells/PD-1+ CD8+ T Cells | Count,Cells/Single Cells/Single Cells-1/Live/CD45+/CD3- Myeloid | Count,Cells/Single Cells/Single Cells-1/Live/CD45+/CD3- Myeloid/B220+ CD11c- B Cells | Count,Cells/Single Cells/Single Cells-1/Live/CD45+/CD3- Myeloid/B220+ CD11c- B Cells/MHCII+ B Cells | Count,Cells/Single Cells/Single Cells-1/Live/CD45+/CD3- Myeloid/B220+ CD11c- B Cells/PD-1+ B Cells | Count,"Cells/Single Cells/Single Cells-1/Live/CD45+/CD3- Myeloid/B220-, CD11c- | Count","Cells/Single Cells/Single Cells-1/Live/CD45+/CD3- Myeloid/B220-, CD11c-/NKp46+ NK Cells | Count","Cells/Single Cells/Single Cells-1/Live/CD45+/CD3- Myeloid/B220-, CD11c-/NKp46- | Count","Cells/Single Cells/Single Cells-1/Live/CD45+/CD3- Myeloid/B220-, CD11c-/NKp46-/CD11b+ monocytes (Ly6G-) | Count","Cells/Single Cells/Single Cells-1/Live/CD45+/CD3- Myeloid/B220-, CD11c-/NKp46-/CD11b+ monocytes (Ly6G-)/F4_80+ Macs | Count","Cells/Single Cells/Single Cells-1/Live/CD45+/CD3- Myeloid/B220-, CD11c-/NKp46-/CD11b_hi | Count","Cells/Single Cells/Single Cells-1/Live/CD45+/CD3- Myeloid/B220-, CD11c-/NKp46-/CD11b_hi/Ly6C_hi, Ly6G- Inflam Monocyte (MDSC) | Count","Cells/Single Cells/Single Cells-1/Live/CD45+/CD3- Myeloid/B220-, CD11c-/NKp46-/CD11b_hi/Ly6G+ Neutrophils | Count",Cells/Single Cells/Single Cells-1/Live/CD45+/CD3- Myeloid/CD11c+ DCs | Count,Cells/Single Cells/Single Cells-1/Live/CD45+/CD3- Myeloid/CD11c+ DCs/B220+ | Count,Cells/Single Cells/Single Cells-1/Live/CD45+/CD3- Myeloid/CD11c+ DCs/B220+/pDCs (MHCII_int) | Count,Cells/Single Cells/Single Cells-1/Live/CD45+/CD3- Myeloid/CD11c+ DCs/B220- | Count,Cells/Single Cells/Single Cells-1/Live/CD45+/CD3- Myeloid/CD11c+ DCs/B220-/MHCII+ cDCs | Count,Cells/Single Cells/Single Cells-1/Live/CD45+/CD3- Myeloid/CD11c+ DCs/B220-/MHCII- | Count,"Cells/Single Cells/Single Cells-1/Live/CD45+/CD3- Myeloid/CD11c+ DCs/B220-/MHCII_hi, CD11c_hi | Count","Cells/Single Cells/Single Cells-1/Live/CD45+/CD3- Myeloid/CD11c+ DCs/B220-/MHCII_hi, CD11c_hi/cDC1s (CD8a+) | Count","Cells/Single Cells/Single Cells-1/Live/CD45+/CD3- Myeloid/CD11c+ DCs/B220-/MHCII_hi, CD11c_hi/cDC2s (CD4+) | Count",Cells/Single Cells/Single Cells-1/Live/CD45+/CD3- Myeloid/CD11c+ DCs/B220-/MHCII_int | Count,Cells/Single Cells/Single Cells-1/Live/EpCAM+ | Count,Cells/Single Cells/Single Cells-1/Live/EpCAM+/PD-1+ Tumor Cells | Count,Cells/Single Cells/Single Cells-1/CD45+ Cells | Count,Cells/Single Cells/Single Cells-1/EpCAM+ Cells | Count,Cells/Single Cells/Single Cells-1/Live/CD45+/PD-1+ CD45+/PD-1+ CD3+ Lymphocytes | Count,Cells/Single Cells/Single Cells-1/Live/CD45+/PD-1+ CD45+ | Count,
M1.fcs,B2,fusD_drug,7.48E5,32247,11698,2089,775,32.0,223,748,14.0,161,9321,220,128,12.0,1410,231,1118,315,275,858,21.0,528,7288,144,2.00,7122,7070,32.0,5261,8.00,271,119,18457,271,24952,5.96E5,339,479,
M9.fcs,B2,fusD_drug,7.79E5,44110,10114,1224,358,27.0,121,370,20.0,42.0,8059,200,104,8.00,1516,136,1350,374,333,1209,37.0,831,5656,701,18.0,4806,4594,123,2705,5.00,135,311,20347,1249,27717,6.29E5,204,266,
M23.fcs,B3,fusD_drug,1.25E6,106280,35833,18314,9800,6578,1099,6641,4391,640,15066,5186,4776,93.0,2529,369,2097,234,143,844,37.0,679,6750,345,20.0,6351,6086,213,4200,13.0,167,240,46566,1787,65487,1.06E6,1907,3227,
M30.fcs,B5,fusD_drug,259731,19266,6256,1185,724,9.00,263,230,1.00,50.0,4732,126,81.0,7.00,740,65.0,661,316,293,518,29.0,190,3779,358,32.0,3385,3323,77.0,3168,2.00,71.0,88.0,12152,850,201184,22385,414,460,
M35.fcs,B6,fusD_drug,1.16E6,85733,18066,2006,708,11.0,253,741,15.0,132,13980,351,115,13.0,3488,276,3211,330,184,2719,99.0,2440,9839,368,19.0,9339,8571,685,7794,25.0,503,227,61161,1351,41197,1.06E6,450,716,
M4.fcs,B1,fusS,6.75E5,5.63E5,88.0,7.00,1.00,1.00,0,2.00,0,0,69.0,2.00,1.00,0,19.0,2.00,17.0,2.00,2.00,17.0,0,11.0,43.0,8.00,1.00,34.0,33.0,1.00,23.0,0,2.00,3.00,74995,10799,1412,163030,0,1.00,
M6.fcs,B1,fusS,7.11E5,73325,15352,3338,857,324,237,1018,184,182,10033,603,239,19.0,2795,372,2339,347,229,1646,60.0,1350,6207,859,25.0,5250,5163,73.0,3957,4.00,241,167,24268,120,93261,4.74E5,514,821,
M14.fcs,B4,fusS,5.20E5,25082,4690,567,242,9.00,83.0,151,3.00,36.0,4005,73.0,36.0,2.00,800,44.0,751,130,122,631,13.0,523,2439,1050,15.0,1295,1196,74.0,565,0,7.00,62.0,19604,195,372069,31656,156,203,
M17.fcs,B4,fusS,376081,35006,9506,1072,531,49.0,124,210,18.0,45.0,7928,186,81.0,0,583,114,466,107,95.0,332,32.0,246,6547,657,14.0,5755,5341,304,4054,4.00,108,418,24349,175,219045,65585,229,256,
M33.fcs,B5,fusS,12280,1765,708,137,95.0,4.00,40.0,20.0,1.00,6.00,503,19.0,10.0,0,227,25.0,193,108,103,161,8.00,36.0,244,45.0,3.00,197,184,13.0,175,0,2.00,8.00,711,7.00,9886,1457,60.0,73.0,
M5.fcs,B2,fusS_drug,6.11E5,46284,10194,1519,439,71.0,150,447,28.0,106,7749,179,81.0,7.00,1679,124,1538,433,354,1346,39.0,834,5174,1289,189,3668,3196,224,1436,4.00,89.0,832,21020,5392,22192,4.34E5,402,608,
M7.fcs,B2,fusS_drug,6.73E5,34721,9177,2469,604,74.0,227,742,37.0,157,6225,153,59.0,15.0,1220,246,941,225,190,635,16.0,405,4520,831,16.0,3467,3408,42.0,2178,4.00,114,147,16862,2168,24656,5.31E5,424,703,
M13.fcs,B3,fusS_drug,1.28E6,129255,44665,21373,15881,12494,578,4353,2941,112,20969,4060,3713,35.0,2048,236,1767,315,232,1425,33.0,1167,13606,2555,83.0,10769,10195,437,5579,3.00,219,691,57102,1108,73931,1.09E6,690,786,
M19.fcs,B3,fusS_drug,1.16E6,119493,25567,3051,1345,198,339,944,59.0,153,19179,509,285,18.0,3427,219,3158,456,318,2752,55.0,2239,13740,3038,135,10386,9517,653,4933,2.00,169,829,65436,2961,50080,9.57E5,609,909,
M25.fcs,B6,fusS_drug,1.22E6,70024,16897,2521,1049,106,395,782,28.0,343,13138,348,204,59.0,2486,142,2344,454,395,1686,42.0,1340,10050,115,14.0,9895,9609,262,8490,25.0,411,132,48229,1118,34458,1.15E6,876,1302,
M32.fcs,B5,fusS_drug,6.79E5,39381,18114,1545,979,18.0,431,274,5.00,47.0,15751,244,131,2.00,2363,128,2194,1197,1081,1909,248,627,12908,876,81.0,11900,11587,406,10707,12.0,186,554,18511,498,4.35E5,63550,595,651,
Mean,-,-,7.72E5,120858,13423,3168,1653,742,293,850,297,125,9099,702,534,16.5,1641,175,1442,322,253,1083,41.0,775,6298,774,36.1,5423,5182,198,3912,7.41,168,242,57135,10628,107028,5.05E5,502,711,
SD,-,-,4.09E5,175055,10804,4637,3142,2436,289,1318,911,137,6698,1245,1141,20.7,1167,152,1048,243,209,841,47.7,692,4866,878,45.2,4515,4321,212,3713,8.09,186,246,106502,41543,125589,4.29E5,450,693,
